organism,drug,source
Klebsiella pneumoniae,Ampicillin,publish2025
Proteus mirabilis,Tigecycline,publish2025
Proteus mirabilis,Colistin,publish2025
Serratia marcescens,Ampicillin,publish2025
Serratia marcescens,Cefoxitin,publish2025
Serratia marcescens,Amoxicillin/Cla,publish2025
Serratia marcescens,Ampicillin/Sulb,publish2025
Serratia marcescens,Colistin,publish2025
Citrobacter koseri,Ampicillin,publish2025
Enterobacter cloacae,Ampicillin,publish2025
Enterobacter cloacae,Cefoxitin,publish2025
Enterobacter cloacae,Amoxicillin/Cla,publish2025
Enterobacter cloacae,Ampicillin/Sulb,publish2025
Enterobacter hormaechei,Ampicillin,publish2025
Enterobacter hormaechei,Cefoxitin,publish2025
Enterobacter hormaechei,Amoxicillin/Cla,publish2025
Enterobacter hormaechei,Ampicillin/Sulb,publish2025
Acinetobacter baumannii,Ampicillin,publish2025
Acinetobacter baumannii,Cefoxitin,publish2025
Acinetobacter baumannii,Amoxicillin/Cla,publish2025
Acinetobacter baumannii,Ertapenem,publish2025
Acinetobacter baumannii,Chloramphenicol,publish2025
Acinetobacter species,Ampicillin,publish2025
Acinetobacter species,Cefoxitin,publish2025
Acinetobacter species,Amoxicillin/Cla,publish2025
Acinetobacter species,Ertapenem,publish2025
Pseudomonas aeruginosa,Ampicillin,publish2025
Pseudomonas aeruginosa,Ceftriaxone,publish2025
Pseudomonas aeruginosa,Cefotaxime,publish2025
Pseudomonas aeruginosa,Cefoxitin,publish2025
Pseudomonas aeruginosa,Amoxicillin/Cla,publish2025
Pseudomonas aeruginosa,Ampicillin/Sulb,publish2025
Pseudomonas aeruginosa,Ertapenem,publish2025
Pseudomonas aeruginosa,Tetracycline,publish2025
Pseudomonas aeruginosa,Tigecycline,publish2025
Pseudomonas aeruginosa,Chloramphenicol,publish2025
Pseudomonas aeruginosa,Trimetho/Sulfa.,publish2025
Stenotrophomonas maltophilia,Ampicillin,publish2025
Stenotrophomonas maltophilia,Ceftriaxone,publish2025
Stenotrophomonas maltophilia,Cefotaxime,publish2025
Stenotrophomonas maltophilia,Amoxicillin/Cla,publish2025
Stenotrophomonas maltophilia,Ampicillin/Sulb,publish2025
Stenotrophomonas maltophilia,Piperacil/Tazob,publish2025
Stenotrophomonas maltophilia,Ertapenem,publish2025
Stenotrophomonas maltophilia,Meropenem,publish2025
Stenotrophomonas maltophilia,Imipenem,publish2025
Stenotrophomonas maltophilia,Gentamicin,publish2025
Stenotrophomonas maltophilia,Amikacin,publish2025
Enterococcus faecalis,Ceftazidime,publish2025
Enterococcus faecalis,Ceftriaxone,publish2025
Enterococcus faecalis,Cefotaxime,publish2025
Enterococcus faecalis,Cefepime,publish2025
Enterococcus faecalis,Cefoxitin,publish2025
Enterococcus faecalis,Amikacin,publish2025
Enterococcus faecalis,Clindamycin,publish2025
Enterococcus faecalis,Trimetho/Sulfa.,publish2025
Enterococcus faecium,Ceftazidime,publish2025
Enterococcus faecium,Ceftriaxone,publish2025
Enterococcus faecium,Cefotaxime,publish2025
Enterococcus faecium,Cefepime,publish2025
Enterococcus faecium,Cefoxitin,publish2025
Enterococcus faecium,Amikacin,publish2025
Enterococcus faecium,Clindamycin,publish2025
Enterococcus faecium,Trimetho/Sulfa.,publish2025
