member_name,group_name
Staphylococcus capitis,Coagulase Negative Staphylococci
Staphylococcus capitis ssp capitis,Coagulase Negative Staphylococci
Staphylococcus caprae,Coagulase Negative Staphylococci
Staphylococcus cohnii,Coagulase Negative Staphylococci
Staphylococcus epidermidis,Coagulase Negative Staphylococci
Staphylococcus haemolyticus,Coagulase Negative Staphylococci
Staphylococcus hominis,Coagulase Negative Staphylococci
Staphylococcus hominis ssp hominis,Coagulase Negative Staphylococci
Staphylococcus intermedius,Coagulase Negative Staphylococci
Staphylococcus lugdunensis,Coagulase Negative Staphylococci
Staphylococcus pasteuri,Coagulase Negative Staphylococci
Staphylococcus pettenkoferi,Coagulase Negative Staphylococci
Staphylococcus saprophyticus,Coagulase Negative Staphylococci
Staphylococcus ureilyticus,Coagulase Negative Staphylococci
Staphylococcus warneri,Coagulase Negative Staphylococci
