genus,family
escherichia,Enterobacterales
klebsiella,Enterobacterales
salmonella,Enterobacterales
shigella,Enterobacterales
proteus,Enterobacterales
serratia,Enterobacterales
citrobacter,Enterobacterales
enterobacter,Enterobacterales
morganella,Enterobacterales
providencia,Enterobacterales
hafnia,Enterobacterales
raoultella,Enterobacterales
pantoea,Enterobacterales
cronobacter,Enterobacterales
kluyvera,Enterobacterales
leclercia,Enterobacterales
aeromonas,Aeromonadaceae
pseudomonas,Pseudomonadaceae
acinetobacter,Moraxellaceae
moraxella,Moraxellaceae
stenotrophomonas,Xanthomonadaceae
burkholderia,Burkholderiaceae
vibrio,Vibrionaceae
haemophilus,Pasteurellaceae
staphylococcus,Staphylococcaceae
streptococcus,Streptococcaceae
enterococcus,Enterococcaceae
